food_name,brand_name_item_name,brand_name,serving_unit,serving_qty,nf_calories
Fresh Asparagus,Giorgio Fresh Asparagus,Giorgio,oz,3.0,20.0
Asparagus,Fresh 1 Asparagus,Fresh 1,kilogram,1.0,191.0
Asparagus & Pea,Saladworks Asparagus & Pea,Saladworks,oz,1.0,40.0
Asparagus Spears,Great Value Asparagus Spears,Great Value,cup,0.75,20.0
Asparagus Medley,Safeway Farms Asparagus Medley,Safeway Farms,cup,1.0,20.0
Green Asparagus Risotto,Ahold Green Asparagus Risotto,Ahold,package,1.0,370.0
Grilled Asparagus,Cheesecake Factory Grilled Asparagus,Cheesecake Factory,order,1.0,150.0
Shrimp & Asparagus Ravioli,Rana Shrimp & Asparagus Ravioli,Rana,cup,1.0,250.0
Pickled Asparagus,Princess Pickled Asparagus,Princess,spears,2.0,10.0
Asparagus Risotto,Framani Asparagus Risotto,Framani,cup,0.6700000166893005,220.0
Asparagus Soup,Morrisons Asparagus Soup,Morrisons,pack,0.5,125.16000366210938
Asparagus & Garlic Roasted Tomatoes,Chili's Asparagus & Garlic Roasted Tomatoes,Chili's,Serving,1.0,70.0
Asparagus and Swiss Omelet,Eggspectation Asparagus and Swiss Omelet,Eggspectation,serving,1.0,880.0
Fresh Grilled Asparagus,Ruby Tuesday Fresh Grilled Asparagus,Ruby Tuesday,serving,1.0,70.0
Fresh Steamed Asparagus,LongHorn Steakhouse Fresh Steamed Asparagus,LongHorn Steakhouse,serving,1.0,90.0
Lunch Combo Grilled Asparagus,Houlihan's Lunch Combo Grilled Asparagus,Houlihan's,serving,1.0,45.0
"Pickled Asparagus Spears, Original","Foster's Pickled Asparagus Spears, Original",Foster's,spears,3.0,10.0
Roasted Asparagus,Ted's Montana Grill Roasted Asparagus,Ted's Montana Grill,Portion,1.0,80.0
"Topping, Roasted Asparagus","BJ's Restaurants Topping, Roasted Asparagus",BJ's Restaurants,portion for 1 slice,1.0,10.0
Risotto Asparagus,Priano Risotto Asparagus,Priano,package,0.5,310.0
Applesauce with Raspberries,Applesnax Applesauce with Raspberries,Applesnax,oz,4.0,80.0
Applesauce with Mixed Berries,Applesnax Applesauce with Mixed Berries,Applesnax,oz,4.0,80.0
"Apples 'n Dip, Sliced Apples with Caramel Dip","Mott's Apples 'n Dip, Sliced Apples with Caramel Dip",Mott's,apple package & caramel dip package,1.0,80.0
"Instant Oatmeal, Apples & Cranberries","Quaker Instant Oatmeal, Apples & Cranberries",Quaker,cup,1.0,190.0
"Apples, McIntosh","Unknown Apples, McIntosh",Unknown,medium apple,1.0,80.0
Sliced Apples,T.MAC Sliced Apples,T.MAC,serving,1.0,60.0
Pre-Sliced Apples,Grab Apples Pre-Sliced Apples,Grab Apples,bag,1.0,30.0
Alfalfa Sprouts,Chickpea Alfalfa Sprouts,Chickpea,Ounce,1.5,10.0
"Sprouts, Alfalfa","Fullei Fresh Sprouts, Alfalfa",Fullei Fresh,cup,1.0,25.0
Alfalfa Sprout Blend,Lifeforce Alfalfa Sprout Blend,Lifeforce,oz,1.0,10.0
"Alfalfa Honey, Raw & Unfiltered","Tree of Life Alfalfa Honey, Raw & Unfiltered",Tree of Life,tbsp,1.0,60.0
"Raw Honey, Alfalfa","Stockin's Apiaries Raw Honey, Alfalfa",Stockin's Apiaries,tbsp,1.0,64.0
Organic Alfalfa Sprouts,Banner Mountain Sprouts Organic Alfalfa Sprouts,Banner Mountain Sprouts,oz,2.0,17.0
"All Natural Bread, Alfalfa Sprout","Vermont Bread Company All Natural Bread, Alfalfa Sprout",Vermont Bread Company,slice,1.0,70.0
"Produce, Living Alfalfa Sprouts","Leasa Produce, Living Alfalfa Sprouts",Leasa,Oz,6.0,25.0
"Alfalfa Sprouts, Fresh","River Valley Alfalfa Sprouts, Fresh",River Valley,oz.,1.0,10.0
"Alfalfa, A Deep Green Leafy Vegetable Tablets","Pines The Wheat Grass People Alfalfa, A Deep Green Leafy Vegetable Tablets",Pines The Wheat Grass People,tablets,7.0,15.0
Alfalfa Pure Honey,Medford Farms Alfalfa Pure Honey,Medford Farms,tbsp,1.0,60.0
Organic Alfalfa,Nature Jim's Organic Alfalfa,Nature Jim's,oz,2.0,18.0
Alfalfa Powder Green Superfood,Now Alfalfa Powder Green Superfood,Now,rounded tablespoon,1.0,30.0
Alfalfa sprouts,Aqua Greens Alfalfa sprouts,Aqua Greens,oz,1.0,10.0
Alfalfa & Clover,Sungarden Sprouts Alfalfa & Clover,Sungarden Sprouts,oz,1.0,10.0
Organic Alfalfa/Clover Sprouts,Fullei Fresh Organic Alfalfa/Clover Sprouts,Fullei Fresh,cup,1.0,30.0
"Herbal Tea, Alfalfa with Mint","Tadin Herbal Tea, Alfalfa with Mint",Tadin,bag,1.0,0.0
Alfalfa Honey,Gunter's Alfalfa Honey,Gunter's,tbsp,1.0,60.0
"Alfalfa Sprouts, Organic","Springwater Sprouts Alfalfa Sprouts, Organic",Springwater Sprouts,oz,1.0,10.0
"Barley Grass, Wheat Grass & Alfalfa","amazing grass Barley Grass, Wheat Grass & Alfalfa",amazing grass,packet,1.0,35.0
"Soup, Creamy Acorn Squash & Mango","Imagine Soup, Creamy Acorn Squash & Mango",Imagine,cup,1.0,70.0
Acorn Squash,Wegmans Acorn Squash,Wegmans,cup cubed,0.5,35.0
Dry Cured Acorn Salami,Hemis Fares Dry Cured Acorn Salami,Hemis Fares,slices,2.0,120.0
Dry Cured Acorn Fed Iberico Pork Ham,Hemis Fares Dry Cured Acorn Fed Iberico Pork Ham,Hemis Fares,oz,1.0,100.0
Baked Squash/Squash Casserole,Cotton Patch Cafe Baked Squash/Squash Casserole,Cotton Patch Cafe,serving,1.0,180.0
Butternut Squash Ravioli,Lean Cuisine Butternut Squash Ravioli,Lean Cuisine,package,1.0,260.0
Squash,Buffets Squash,Buffets,spoon,1.0,150.0
Butternut Squash Soup,Progresso Butternut Squash Soup,Progresso,cup,1.0,110.0
Breaded Squash,Pictsweet Breaded Squash,Pictsweet,pieces,4.0,90.0
