food_name,tag_name,serving_unit,serving_qty,nf_calories
lite caesar salad dressing,light caesar dressing,tbsp,2,79.36
chicken caesar salad wrap,chicken caesar wrap,wrap,1,533.05
caesar salad dressing,caesar salad dressing,serving (2 tbsp),1,162.6
chicken caesar kale salad,kale chicken caesar salad,salad,1,526.77
kale chicken caesar salad,kale chicken caesar salad,salad,1,526.77
crispy chicken caesar salad,crispy chicken caesar salad,salad (about 3 cups),1,694.5
salmon caesar salad,salmon caesar salad,salad,1,744.71
kale caesar salad,kale Caesar salad,cup,1,327.6
fried chicken caesar salad,crispy chicken caesar salad,salad (about 3 cups),1,694.5
chicken caesar salad,chicken caesar salad,salad with dressing,1,508.32
big mac sandwich,mcdonalds big mac,burger,1,540.0
grilled shrimp caesar salad,shrimp caesar salad,salad,1,617.45
applebees small caesar salad,applebees small caesar salad,serving,1,210.0
caesar salad,caesar salad,salad (about 3 cups),1,481.43
big mac chicken,mcdonald's mcchicken sandwich,sandwich,1,357.63
big mac sauce,big mac sauce,tbsp,1,88.69
big mac meal,big mac meal,meal,1,927.87
mcdonalds big mac meal,big mac meal,meal,1,927.87
mcdonalds big mac,mcdonalds big mac,burger,1,540.0
big mac,mcdonalds big mac,burger,1,540.0
tater tots with bacon cheese and sour cream,loaded tater tots,cup,1,315.12
tater tots with cheese bacon and sour cream,loaded tater tots,cup,1,315.12
german green beans with bacon,german green beans with bacon,bundle,1,194.95
garlic and butter green beans,garlic butter green beans,cup,1,119.67
german pears beans and bacon,"german pears, beans, and bacon",cup,1,251.36
dark chocolate coffee beans,dark chocolate covered espresso beans,serving 28 pieces,1,216.0
garlic butter green beans,garlic butter green beans,cup,1,119.67
chocolate coffee beans,chocolate covered espresso beans,serving 28 pieces,1,216.0
green beans with bacon,green beans with bacon,cup,1,92.87
green beans and bacon,green beans with bacon,cup,1,92.87
toasted french bread,toasted french bread,oz,1,90.44
brazilian black beans,feijoada,bowl (2 cups),1,690.94
french bread rolls,french bread roll,roll,1,105.26
bushes baked beans,bush's baked beans,cup,1,238.76
bush baked beans,bush's baked beans,cup,1,238.76
bbq baked beans,baked bean,cup,1,238.76
french beans,green beans,bean,1,2.24
kidney beans,red kidney beans,cup,1,224.79
baked beans,baked bean,cup,1,238.76
jelly beans,jelly beans,small,10,41.25
