name,duration_min,met,nf_calories
squats,10,5.0,58.33
calisthenics,10,3.8,44.33
leg workout,30,3.5,122.5
weight lifting,30,3.5,122.5
calf raises,30,3.5,122.5
hip adduction,30,3.8,133.0
pectoral fly,5,3.5,20.42
lateral pull downs,30,3.5,122.5
rowing,30,4.8,168.0
shoulder exercise,10,3.5,40.83
pectoral fly,5,3.5,20.42
weight lifting,30,3.5,122.5
weight lifting,30,3.5,122.5
sit-ups,10,2.8,32.67
leg workout,30,3.5,122.5
archery,30,4.3,150.5
cricket,30,4.8,168.0
boxing,15,7.8,136.5
skateboarding,15,5.0,87.5
hockey,15,8.0,140.0
fencing,30,6.0,210.0
martial arts,30,5.3,185.5
weight lifting,30,3.5,122.5
baseball,30,5.0,175.0
wrestling,30,6.0,210.0
running,30,9.8,343.0
fishing,30,3.5,122.5
rock climbing,30,7.5,262.5
skeet shooting,30,2.5,87.5
soccer,30,10.0,350.0
swimming,30,6.0,210.0
trampoline,15,3.5,61.25
ping pong,15,4.0,70.0
american football,30,8.0,280.0
slow dancing,30,3.0,105.0
zumba class,45,5.0,262.5
slow dancing,30,3.0,105.0
swinging,15,4.0,70.0
cultural dancing,30,4.5,157.5
run and walk,30,6.5,227.5
hiking,30,7.8,273.0
jogging,30,9.0,315.0
