food_name,tag_name,serving_unit,serving_qty,nf_calories
lite caesar salad dressing,light caesar dressing,tbsp,2,79.36
chicken caesar salad wrap,chicken caesar wrap,wrap,1,533.05
caesar salad dressing,caesar salad dressing,serving (2 tbsp),1,162.6
chicken caesar kale salad,kale chicken caesar salad,salad,1,526.77
kale chicken caesar salad,kale chicken caesar salad,salad,1,526.77
crispy chicken caesar salad,crispy chicken caesar salad,salad (about 3 cups),1,694.5
salmon caesar salad,salmon caesar salad,salad,1,744.71
kale caesar salad,kale Caesar salad,cup,1,327.6
fried chicken caesar salad,crispy chicken caesar salad,salad (about 3 cups),1,694.5
chicken caesar salad,chicken caesar salad,salad with dressing,1,508.32
big mac sandwich,mcdonalds big mac,burger,1,540.0
grilled shrimp caesar salad,shrimp caesar salad,salad,1,617.45
applebees small caesar salad,applebees small caesar salad,serving,1,210.0
caesar salad,caesar salad,salad (about 3 cups),1,481.43
big mac chicken,mcdonald's mcchicken sandwich,sandwich,1,357.63
big mac sauce,big mac sauce,tbsp,1,88.69
big mac meal,big mac meal,meal,1,927.87
mcdonalds big mac meal,big mac meal,meal,1,927.87
mcdonalds big mac,mcdonalds big mac,burger,1,540.0
big mac,mcdonalds big mac,burger,1,540.0
tater tots with bacon cheese and sour cream,loaded tater tots,cup,1,315.12
tater tots with cheese bacon and sour cream,loaded tater tots,cup,1,315.12
german green beans with bacon,german green beans with bacon,bundle,1,194.95
garlic and butter green beans,garlic butter green beans,cup,1,119.67
german pears beans and bacon,"german pears, beans, and bacon",cup,1,251.36
dark chocolate coffee beans,dark chocolate covered espresso beans,serving 28 pieces,1,216.0
garlic butter green beans,garlic butter green beans,cup,1,119.67
chocolate coffee beans,chocolate covered espresso beans,serving 28 pieces,1,216.0
green beans with bacon,green beans with bacon,cup,1,92.87
green beans and bacon,green beans with bacon,cup,1,92.87
toasted french bread,toasted french bread,oz,1,90.44
brazilian black beans,feijoada,bowl (2 cups),1,690.94
french bread rolls,french bread roll,roll,1,105.26
bushes baked beans,bush's baked beans,cup,1,238.76
bush baked beans,bush's baked beans,cup,1,238.76
bbq baked beans,baked bean,cup,1,238.76
french beans,green beans,bean,1,2.24
kidney beans,red kidney beans,cup,1,224.79
baked beans,baked bean,cup,1,238.76
jelly beans,jelly beans,small,10,41.25
big mac,mcdonalds big mac,burger,1,540.0
bigmac,mcdonalds big mac,burger,1,540.0
big kat,hershey's kit kat big kat bar,bar 1.94 oz,1,286.0
big red,big red gum,stick,1,10.8
big bagel,restaurant bagel,"large bagel (4-1/2"")",1,345.84
big gulp,big gulp,Big Gulp (30 oz),1,386.82
big tasty,mcdonald's big n tasty,burger,1,486.55
big mac meal,big mac meal,meal,1,927.87
big mac sauce,big mac sauce,tbsp,1,88.69
big red cola,big red soda,can or bottle (12 fl oz),1,155.4
big mac chicken,mcdonald's mcchicken sandwich,sandwich,1,357.63
big mac sandwich,mcdonalds big mac,burger,1,540.0
mcdonalds big mac,mcdonalds big mac,burger,1,540.0
reeses big cup,reeses big cup,cup,1,210.0
kit kat big kat,hershey's kit kat big kat bar,bar 1.94 oz,1,286.0
mcdonald's big mac,mcdonalds big mac,burger,1,540.0
mcdonalds big mac meal,big mac meal,meal,1,927.87
mcdonald's big mac meal,big mac meal,meal,1,927.87
mcdonald big breakfast,mcdonald's big breakfast,item 9.5 oz,1,766.65
mcdonalds big breakfast,mcdonald's big breakfast,item 9.5 oz,1,766.65
asparagus,asparagus,spears,5,16.5
asparagus dip,asparagus dip,cup,1,622.06
asparagus soup,cream of asparagus soup,cup (8 fl oz),1,161.2
asparagus stalk,asparagus stalks,spears,5,16.5
asparagus pizza,white asparagus pizza,medium slice,1,306.91
asparagus spear,asparagus spears,spears,5,16.5
asparagus spears,asparagus spears,spears,5,16.5
asparagus stalks,asparagus stalks,spears,5,16.5
asparagus grilled,roasted asparagus,spears,6,45.08
asparagus roasted,roasted asparagus,spears,6,45.08
asparagus sauteed,roasted asparagus,spears,6,45.08
roasted asparagus,roasted asparagus,spears,6,45.08
grilled asparagus,roasted asparagus,spears,6,45.08
sauteed asparagus,roasted asparagus,spears,6,45.08
baked asparagus dip,asparagus dip,cup,1,622.06
cream asparagus soup,cream of asparagus soup,cup (8 fl oz),1,161.2
alpine fresh asparagus,alpine fresh asparagus,spears,6,25
smoked salmon asparagus roll,smoked salmon and asparagus roll,roll,1,230.21
smoked salmon and asparagus roll,smoked salmon and asparagus roll,roll,1,230.21
outback steakhouse grilled asparagus,outback steakhouse grilled asparagus,Serving,1,60
apples,apple,"medium (3"" dia)",1,94.64
applesauce,apple sauce,container,1,75.48
red apples,red apple,"medium (3"" dia)",1,94.64
gala apples,gala apple,medium,1,98.04
fuji apples,fuji apple,medium,1,120.96
applesauces,apple sauce,container,1,75.48
dried apples,dried apple,ring,1,15.55
baked apples,Baked Apple,apple,1,172.64
green apples,green apple,"medium (3"" dia)",1,94.64
cinnamon apples,fried apples,cup,1,233.86
motts applesauce,motts applesauce,container,1,90
applesauce pouch,fruit pouch,pouch,1,61.2
honeycrisp apples,honeycrisp apple,"medium (3"" dia)",1,94.64
applesauce cinnamon,cinnamon applesauce,container,1,75.48
cinnamon applesauce,cinnamon applesauce,container,1,75.48
strawberry applesauce,strawberry applesauce,container,1,?
unsweetened applesauce,unsweetened applesauce,cup,1,?
applesauce unsweetened,unsweetened applesauce,cup,1,102.48
motts cinnamon applesauce,motts cinnamon applesauce,cup,0.5,110
evans apples green apples,evans apples green apples,medium apple,1,80
alfalfa,alfalfa,cup,1,7.59
alfalfa sprout,alfalfa,cup,1,7.59
alfalfa sprouts,alfalfa,cup,1,7.59
acorn squash,acorn squash,"cup, cubes",1,114.8
acorn squash soup,acorn squash soup,bowl (2 cups),1,313.27
mash acorn squash,mashed acorn squash,"cup, mashed",1,83.3
acorn squash mash,mashed acorn squash,"cup, mashed",1,83.3
mashed acorn squash,mashed acorn squash,"cup, mashed",1,83.3
acorn squash mashed,mashed acorn squash,"cup, mashed",1,83.3
roasted acorn squash soup,acorn squash soup,bowl (2 cups),1,313.27
squash,squash,"cup, sliced",1,41.4
squash soup,butternut squash soup,bowl (2 cups),1,219.92
yellow squash,yellow squash,medium,1,68.4
kabocha squash,kabocha squash,squash,1,226.8
steamed squash,squash,"cup, sliced",1,41.4
squash pancakes,zucchini fritter,fritter,1,82.72
zucchini squash,zucchini,medium,1,32.55
delicata squash,delicata squash,cup,1,75.85
spagetti squash,spaghetti squash,squash,1,?
spaghetti squash,spaghetti squash,squash,1,?
butternut squash,butternut squash,"cup, cubes",1,82
stir fried squash,squash stir fry,cup,1,60.37
orange squash drink,orange squash,ml,100,45.88
grilled summer squash,grilled zucchini,cup,1,74.17
butternut squash farro,butternut squash farro,serving,1,356.35
baked spaghetti squash,roasted spaghetti squash,cup,1,79.66
butternut squash ravioli,butternut squash ravioli,cup without sauce,1,227.49
roasted butternut squash,roasted butternut squash,cup,1,158.38
butternut squash enchilada,butternut squash enchiladas,enchilada,1,232.15
almond,almond,almond,1,7.71
almonds,almond,almond,1,7.71
almondmilk,almond milk,cup,1,56.04
almond oil,almond oil,tablespoon,1,120.22
almonds raw,raw almonds,almond,1,6.95
almond milk,almond milk,cup,1,56.04
raw almonds,raw almonds,almond,1,6.95
almond flour,almond flour,cup,1,648.48
almond butter,almond butter,tbsp,1,98.24
cocoa almonds,cocoa almond,almond,1,6.51
salted almonds,"almonds, salted",almond,1,7.71
yogurt almonds,yogurt covered almond,almond,1,19.03
sliced almonds,sliced almonds,"cup, sliced",1,532.68
almond granola,"granola, apple cranberry almond",cup,1,409.64
almond pancake,almond flour pancake,"large pancake (7"")",1,220.98
roasted almonds,"almonds, salted",almond,1,7.71
coconut almonds,coconut almonds,oz,1,?
slivered almonds,slivered almonds,cup,0.25,?
chocolate almonds,dark chocolate almonds,almond,1,?
unsweetened almond milk,unsweetened almond milk,cup,1,29.88
artichoke,artichoke,"artichoke, medium",1,63.6
artichokes,artichoke,"artichoke, medium",1,63.6
artichoke dip,artichoke dip,cup,0.25,113.7
can artichoke,canned artichoke hearts,can,1,130.05
artichoke heart,artichoke heart,heart,1,14.31
artichoke hearts,artichoke heart,heart,1,14.31
artichoke chicken,artichoke chicken,piece,1,556.01
artichoke flatbread,artichoke flatbread,flatbread,1,680.15
pesto artichoke dip,artichoke pesto layer dip,tbsp,2,71.31
jerusalem artichoke,jerusalem artichoke,cup slices,1,109.5
can artichoke hearts,canned artichoke hearts,can,1,130.05
spinach artichoke dip,spinach artichoke dip,cup,0.25,113.7
canned artichoke hearts,canned artichoke hearts,can,1,130.05
spinach and artichoke dip,spinach artichoke dip,cup,0.25,113.7
artichoke flatbread pizza,artichoke flatbread,flatbread,1,680.15
marinated artichoke hearts,marinated artichoke hearts,quarter heart piece,1,10.34
thin crust artichoke pizza,Thin crust vegetable pizza,large slice,1,237.74
spinach and artichoke hummus,spinach artichoke hummus,cup,0.25,99.6
artichoke and spinach hummus,spinach artichoke hummus,cup,0.25,99.6
applebees spinach and artichoke dip,applebees spinach and artichoke dip,serving,1,950
motts mango applesauce,motts mango applesauce,bottle,1,120
fruitastics applesauce,fruitastics applesauce pouch,pouch,1,61.2
motts natural applesauce,mott's unsweetened applesauce,g,111,50
motts sweetened applesauce,motts applesauce,container,1,90
motts applesauce unsweetened,mott's unsweetened applesauce,g,111,50
fruitastics applesauce pouch,fruitastics applesauce pouch,pouch,1,61.2
motts fruitsations applesauce,mott's fruitsations applesauce,container,1,75.48
motts no sugar added applesauce,mott's unsweetened applesauce,g,111,50
motts healthy harvest applesauce,mott's healthy harvest,cup,1,102.48
gogo squeez organic applesauce on the go,gogo squeez organic applesauce on the go,pouch,1,60
ahi,ahi tuna,oz,3,110.5
ahi poke,ahi tuna poke,cup,1,261.7
ahi tuna,ahi tuna,oz,3,110.5
ahi salad,ahi tuna salad,salad with dressing,1,632.9
ahi tuna poke,ahi tuna poke,cup,1,261.7
ahi poke bowl,poke bowl,bowl,1,662.09
ahi tuna salad,ahi tuna salad,salad with dressing,1,632.9
salad with ahi,ahi tuna salad,salad with dressing,1,632.9
ahi tuna burger,tuna burger,burger on bun,1,472.12
seared ahi salad,ahi tuna salad,salad with dressing,1,632.9
salad with ahi tuna,ahi tuna salad,salad with dressing,1,632.9
seared ahi tuna salad,ahi tuna salad,salad with dressing,1,632.9
ahi tuna burger on bun,tuna burger,burger on bun,1,472.12
ahi tna stk indonsa09495,ahi tuna,oz,3,110.5
salad with seared ahi tuna,ahi tuna salad,salad with dressing,1,632.9
specially selected seared ahi tuna,specially selected seared ahi tuna,oz,3,120
tuna,cooked tuna,oz,3,110.5
tunafish,Tuna fish,can,1,220.16
tunamelt,tuna melt,sandwich,1,551.45
raw tuna,raw tuna,"oz, boneless",1,30.9
can tuna,canned tuna,can,1,220.16
tuna roll,tuna roll,roll,1,193.9
tunasalad,tuna salad,cup,1,383.35
tuna fish,Tuna fish,can,1,220.16
fresh tuna,fresh tuna,oz,3,156.4
tuna steak,tuna steak,tuna steak,1,184.28
tuna salad,tuna salad,cup,1,383.35
tuna pouch,tuna pouch,pouch (2.6 oz),1,78.82
light tuna,canned light tuna,can,1,141.9
tuna sushi,tuna nigiri,piece,2,117.49
subway tuna,subway tuna,grams,74,250
canned tuna,canned tuna,can,1,220.16
tuna in water,Tuna fish,can,1,220.16
tuna sandwich,tuna salad sandwich,sandwich,1,438.33
albacore tuna,Tuna fish,can,1,220.16
white albacore,Tuna fish,can,1,220.16
albacore nigiri,albacore nigiri,piece,2,117.49
albacore tuna can,canned tuna,can,1,220.16
albacore tuna steak,tuna steak,tuna steak,1,184.28
albacore tuna nigiri,albacore nigiri,piece,2,117.49
albacore tuna in oil,albacore tuna canned in oil,oz,3,158.1
albacore nigiri sushi,albacore nigiri,piece,2,117.49
can albacore tuna in oil,albacore tuna canned in oil,oz,3,158.1
albacore tuna nigiri sushi,albacore nigiri,piece,2,117.49
albacore tuna canned in oil,albacore tuna canned in oil,oz,3,158.1
american tuna wild albacore,american tuna wild albacore,oz,2,100
canned albacore tuna in oil,albacore tuna canned in oil,oz,3,158.1
bumble bee solid white albacore in water,bumble bee solid white albacore in water,cup,0.25,60
starkist solid white albacore tuna in water,starkist solid white albacore tuna in water,cup,0.25,50
bumblebee solid white albacore tune in water,bumblebee solid white albacore tune in water,oz drained,2,60
apple,apple,"medium (3"" dia)",1,94.64
apple pie,Apple pie,"piece (1/8 of 9"" dia)",1,296.25
applepear,Asian pear,"fruit 2-1/4"" high x 2-1/2"" dia",1,51.24
appletini,appletini,cocktail,1,149.11
applejacks,Kellogg Apple Jacks,cup (1 NLEA serving),1,105
applejuice,apple juice,cup,1,114.08
gala apple,gala apple,medium,1,98.04
